Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
5043,0.3,Ideal,H,VVS2,62.1,56.0,4.32,4.28,2.67,776
7211,0.3,Ideal,F,IF,62.1,57.0,4.27,4.3,2.66,886
25233,0.4,Very Good,G,SI1,60.0,63.0,4.76,4.8,2.87,702
16715,0.24,Very Good,F,VVS2,58.0,60.0,4.09,4.12,2.38,533
21266,0.32,Premium,H,VVS1,61.5,59.0,4.41,4.37,2.7,936
24346,0.36,Premium,G,SI2,60.8,58.0,4.61,4.57,2.79,608
19765,2.38,Premium,H,VS1,60.9,59.0,8.62,8.59,5.24,18522
3503,0.42,Ideal,I,VS1,62.0,55.0,4.85,4.83,3.0,992
24096,1.71,Very Good,G,VS2,62.5,58.0,7.56,7.66,4.76,15829
11307,0.57,Premium,D,SI1,63.0,59.0,5.27,5.23,3.31,1949
16672,2.1,Premium,J,SI2,62.0,62.0,8.23,8.17,5.08,12308
26578,1.11,Ideal,I,SI1,62.2,54.0,6.64,6.68,4.14,5006
26104,0.82,Very Good,I,SI1,62.3,58.0,5.94,6.0,3.72,2602
16333,0.37,Premium,H,SI1,60.4,59.0,4.63,4.58,2.78,666
22096,0.31,Good,E,SI1,63.1,54.0,4.31,4.34,2.73,544
13050,1.01,Good,D,VS2,61.8,59.0,6.28,6.35,3.9,6912
16137,0.34,Ideal,G,VS1,60.6,57.0,4.52,4.57,2.75,720
11385,1.56,Premium,G,VS1,60.9,58.0,7.53,7.49,4.57,14268
10665,0.57,Fair,F,VS1,64.5,61.0,5.23,5.19,3.36,1788
19235,0.3,Premium,D,VS2,62.9,61.0,4.29,4.27,2.69,911
13574,0.38,Premium,E,VS2,59.2,60.0,4.77,4.73,2.81,1112
9850,1.73,Good,E,I1,63.6,59.0,7.6,7.56,4.82,8370
15560,1.91,Ideal,G,SI2,62.2,55.0,7.9,7.94,4.93,12700
25017,0.34,Ideal,E,VS1,61.2,57.0,4.51,4.45,2.74,1033
12275,0.47,Ideal,E,VS1,61.2,56.0,5.01,5.05,3.08,1872
1117,0.54,Ideal,F,VVS2,61.9,56.0,5.2,5.23,3.23,2168
10081,0.52,Ideal,G,VVS1,60.7,55.0,5.19,5.29,3.18,2065
25841,0.33,Ideal,F,VVS1,61.8,53.0,4.48,4.51,2.78,880
8499,1.56,Very Good,J,SI2,61.4,58.0,7.4,7.45,4.56,6662
24767,0.74,Very Good,D,VS2,62.4,57.0,5.74,5.8,3.6,2906
3504,0.42,Ideal,F,VVS2,61.6,56.0,4.83,4.85,2.98,1142
10631,0.9,Premium,H,VS2,60.4,59.0,6.24,6.27,3.78,4321
21969,1.07,Premium,I,SI2,59.7,59.0,6.68,6.63,3.97,4206
12560,0.31,Premium,E,IF,61.0,59.0,4.36,4.39,2.67,1060
5141,1.01,Ideal,I,VVS1,61.7,56.0,6.42,6.47,3.98,5478
10315,0.41,Premium,I,SI2,61.6,59.0,4.79,4.76,2.94,692
74,0.7,Premium,E,VS1,58.4,59.0,5.91,5.83,3.43,2854
10710,1.01,Very Good,H,SI1,63.5,62.0,6.36,6.24,4.0,4513
18159,0.44,Ideal,E,VVS2,61.8,56.0,4.93,4.88,3.03,1334
14606,0.37,Ideal,F,VS2,61.7,55.0,4.61,4.73,2.88,759
26299,1.29,Ideal,J,SI1,61.6,58.0,6.96,6.99,4.3,5607
15217,0.3,Ideal,E,VS2,61.4,56.0,4.33,4.36,2.67,621
15459,0.41,Ideal,D,SI1,60.8,57.0,4.84,4.8,2.93,1015
26320,1.51,Ideal,E,VS2,61.2,57.0,7.47,7.37,4.54,15025
4065,1.21,Ideal,F,SI1,61.2,59.0,6.8,6.85,4.18,7349
389,0.42,Ideal,E,SI1,62.1,55.0,4.81,4.79,2.98,953
12240,1.2,Premium,J,SI2,61.7,57.0,6.85,6.79,4.21,3782
12124,0.4,Good,D,VS2,63.5,55.0,4.66,4.69,2.97,891
26273,0.31,Ideal,I,SI1,61.4,56.0,4.35,4.38,2.68,430
16023,2.19,Ideal,H,SI2,62.0,56.0,8.36,8.48,5.22,17433
22267,0.52,Ideal,G,VS1,62.4,55.1,5.11,5.15,3.2,1758
14070,0.35,Ideal,D,VS2,62.5,55.0,4.5,4.55,2.83,829
19252,1.32,Ideal,H,VVS2,62.0,54.0,7.05,7.06,4.37,9571
5195,1.19,Ideal,D,SI1,62.0,57.0,6.77,6.82,4.21,6857
19100,0.53,Ideal,F,VS1,61.6,55.0,5.21,5.24,3.22,1619
13496,0.57,Premium,F,VS2,59.8,59.0,5.4,5.37,3.22,1760
867,0.3,Ideal,D,VVS1,62.2,57.0,4.35,4.3,2.69,1112
22147,0.96,Ideal,G,VS1,61.1,56.0,6.34,6.39,3.89,6807
2020,1.05,Premium,F,SI2,62.3,56.0,6.55,6.51,4.07,4363
12413,0.38,Ideal,G,SI1,61.3,56.0,4.63,4.67,2.85,666
25212,1.07,Ideal,F,SI2,61.6,57.0,6.56,6.53,4.03,5405
16590,0.5,Good,G,VVS2,61.2,63.3,5.06,5.08,3.1,1690
1880,1.23,Ideal,E,VVS2,59.9,57.0,6.95,7.03,4.19,13034
1131,2.05,Very Good,H,VS2,61.8,60.0,8.14,8.19,5.05,18152
14872,0.55,Ideal,F,VVS1,61.9,55.0,5.27,5.3,3.27,2380
2774,1.0,Fair,J,VS1,65.5,55.0,6.3,6.25,4.11,2875
22274,1.18,Premium,I,SI1,62.8,56.0,6.74,6.71,4.22,5088
7500,0.35,Ideal,I,SI1,61.3,54.0,4.51,4.56,2.78,472
24427,1.01,Very Good,F,VS1,63.2,58.0,6.32,6.34,4.0,7107
18516,0.32,Ideal,D,VVS2,61.2,56.0,4.39,4.43,2.7,803
19149,1.01,Very Good,H,SI1,59.8,61.0,6.54,6.51,3.9,4680
4181,0.52,Very Good,H,VS2,61.4,55.0,5.19,5.24,3.2,1389
1587,0.73,Ideal,G,VVS1,61.9,57.0,5.76,5.8,3.58,3669
21164,0.3,Good,D,VVS2,61.6,63.0,4.23,4.27,2.62,719
18076,0.24,Ideal,F,VS1,62.0,56.0,3.99,3.94,2.46,536
18244,0.34,Ideal,G,VS2,62.2,53.0,4.51,4.46,2.79,765
23733,1.21,Ideal,H,SI1,61.1,57.0,6.91,6.83,4.2,6180
16478,0.59,Ideal,I,VS2,62.0,54.0,5.4,5.43,3.36,1300
19010,1.5,Very Good,G,SI2,63.2,58.0,7.25,7.19,4.56,7098
7873,0.3,Very Good,F,VVS1,61.8,55.0,4.32,4.35,2.68,783
7587,0.55,Premium,H,VVS1,61.1,57.0,5.35,5.26,3.24,1980
4201,0.31,Ideal,F,IF,61.2,57.0,4.35,4.38,2.67,1818
26106,0.71,Very Good,H,VVS1,62.7,57.0,5.66,5.72,3.57,2938
8286,0.32,Premium,D,SI1,61.5,59.0,4.42,4.39,2.71,756
